Date,Open,Close
2023-07-13,120.93,124.54
2023-07-14,124.8,125.42
2023-07-17,125.94,124.65
2023-07-18,124.6,123.76
2023-07-19,124.6,122.03
2023-07-20,121.42,119.2
2023-07-21,120.62,120.02
2023-07-24,121.66,121.53
2023-07-25,121.36,122.21
2023-07-26,130.07,129.27
2023-07-27,131.67,129.4
2023-07-28,130.78,132.58
2023-07-31,132.73,132.72
2023-08-01,130.775,131.55
